Feature,Screen / user action,HTTP method,Endpoint,Request structure,Response structure,Invalid payload response (4xx),Failure / edge-case response,External integration,Notes
KYC,Business KYC — get document upload URL,POST,/kyc/document-upload-urls,"{documentType: 'tradeLicense'|'vatCertificate'|'authorizedPersonId', fileName: string, mimeType: 'application/pdf'|'image/jpeg'|'image/png', fileSizeBytes: number}","{fileId: string, uploadUrl: string, uploadMethod: 'PUT', expiresAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Choose a supported document file."", fields: {documentType: ""Choose a document type"", fileName: ""File name is required"", mimeType: ""Upload a PDF, JPG, or PNG"", fileSizeBytes: ""File exceeds the allowed size""}}","{code: ""UPLOAD_LIMIT_EXCEEDED"", message: ""You have reached the maximum number of document uploads.""}; {code: ""UPLOAD_SERVICE_UNAVAILABLE"", message: ""Document upload is temporarily unavailable. Please try again.""}",Object storage / KYC provider,"Active Business KYC screen only. Upload the binary to uploadUrl, then send returned fileId in POST /kyc/submissions"
Home,Home — initial load / refresh,GET,/home,{},"{userName: string, companyName: string, activeOrders: [{orderId: string, status: string, grade: string, location: string, timeSlot: string, volume: string, date: string, amount: number, delivered?: number, total?: number}]}","{code: ""VALIDATION_ERROR"", message: ""Please correct the highlighted fields."", fields: {fieldName: ""Reason for correction""}}","{code: ""SERVICE_UNAVAILABLE"", message: ""This service is temporarily unavailable. Please try again.""}",None,Required by the current Home — initial load / refresh flow; wire it after replacing the existing mock/local data source.
Projects,New Cash Order — open project picker,GET,/projects,"{page?: number, pageSize?: number}","{items: [{id: string, name: string, location: string, description?: string}], page: number, pageSize: number, total: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NO_PROJECTS_FOUND"", message: ""No projects match your search.""}",Maps / geocoding optional,Required by the current New Cash Order — open project picker flow; wire it after replacing the existing mock/local data source.
Projects,Project Details — open a project,GET,/projects/{projectId},{},"{id: string, name: string, projectType: string, description?: string, activeOrdersCount: number, deliveredVolumeM3: number, locations: [{id: string, name: string, address: string, latitude: number, longitude: number, contactName: string, contactPhone: string, activeOrdersCount: number, isDefault: boolean}]}","{code: ""INVALID_PROJECT_ID"", message: ""The selected project could not be found.""}","{code: ""PROJECT_ACCESS_DENIED"", message: ""You do not have access to this project.""}",Maps / geocoding optional,Required by the current Project Details — open a project flow; wire it after replacing the existing mock/local data source.
Projects,Add New Project / Add Location — create project,POST,/projects,"{name: string, projectType: 'residential'|'commercial'|'industrial'|'infrastructure', locations: [{name: string, address: string, latitude: number, longitude: number, contactName?: string, contactPhone?: string}]}","{id: string, name: string, projectType: string, locations: [{id: string, name: string, address: string, latitude: number, longitude: number}]}","{code: ""VALIDATION_ERROR"", message: ""Enter a project name and at least one complete location."", fields: {name: ""Project name is required"", projectType: ""Choose a project type"", locations: ""Add a location with address and map pin""}}","{code: ""DUPLICATE_PROJECT"", message: ""A project with the same name and location already exists.""}",Maps / geocoding optional,Required by the current Add New Project / Add Location — create project flow; wire it after replacing the existing mock/local data source.
Locations,Saved Sites / project location picker — load saved locations,GET,/locations,"{projectId?: string, query?: string, page?: number, pageSize?: number}","{items: [{id: string, projectId: string, projectName: string, name: string, address: string, latitude: number, longitude: number, contactName: string, contactPhone: string, activeOrdersCount: number, isDefault: boolean}], page: number, pageSize: number, total: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NO_LOCATIONS_FOUND"", message: ""No saved locations match your search.""}",Maps / geocoding optional,Required by the current Saved Sites / project location picker — load saved locations flow; wire it after replacing the existing mock/local data source.
Locations,Add Location — save a location to an existing project,POST,/projects/{projectId}/locations,"{pathParams: {projectId: string}, body: {name: string, address: string, latitude: number, longitude: number, contactName: string, contactPhone: string}}","{id: string, projectId: string, name: string, address: string, latitude: number, longitude: number, contactName: string, contactPhone: string, isDefault: boolean}","{code: ""VALIDATION_ERROR"", message: ""Enter a location name, address, map pin, contact person, and mobile number."", fields: {name: ""Location name is required"", address: ""Address is required"", latitude: ""Choose a location on the map"", longitude: ""Choose a location on the map"", contactName: ""Contact person is required"", contactPhone: ""Enter a valid mobile number""}}","{code: ""DUPLICATE_LOCATION"", message: ""This location already exists in the selected project.""}; {code: ""PROJECT_ARCHIVED"", message: ""You cannot add a location to an archived project.""}",Maps / geocoding optional,"projectId is mandatory in the URL path"
Catalogue,Select Mix Code — load/search available mixes,GET,/mix-codes,"{projectId?: string, locationId?: string, query?: string}","{items: [{code: string, type: string, pricePerM3: number, currency: 'AED', aggregateSize: string, slump: string, mpa: string, psi: string, imageUrl?: string, available: boolean}]}","{code: ""INVALID_QUERY"", message: ""Enter a valid search query and selected project/location values.""}","{code: ""NO_MIX_CODES_AVAILABLE"", message: ""No concrete mixes are available for the selected project or location.""}",None,Required by the current Select Mix Code — load/search available mixes flow; wire it after replacing the existing mock/local data source.
Orders,Choose Schedule — load time-slot windows,GET,/delivery-time-windows,"{projectId: string, locationId: string, mixCode: string, quantityM3: number, date: 'YYYY-MM-DD'}","{items: [{id: string, title: string, startTime: 'HH:mm', endTime: 'HH:mm', available: boolean, requestedIntervalOptionsMinutes: [number]}]}","{code: ""INVALID_QUERY"", message: ""Select a project, location, mix code, quantity, and delivery date."", fields: {projectId: ""Project is required"", locationId: ""Location is required"", mixCode: ""Mix code is required"", quantityM3: ""Quantity must be greater than 0"", date: ""Select a valid delivery date""}}","{code: ""NO_SLOTS_AVAILABLE"", message: ""No time-slot windows are available for the selected date and quantity. Choose another date.""}",None,"Only returns time-slot windows for the date selected in the current Schedule screen; no date-list API"
Catalogue,Other Services — load structure types,GET,/structure-types,"{mixCode?: string, projectId?: string}","{items: [{id: string, name: 'Slab'|'Raft'|'Pile'|'Column', imageUrl?: string, available: boolean}]}","{code: ""INVALID_QUERY"", message: ""Select a valid project and mix code before loading structure types.""}","{code: ""NO_STRUCTURE_TYPES_AVAILABLE"", message: ""No structure types are available for this mix code.""}",None,Required by the current Other Services — load structure types flow; wire it after replacing the existing mock/local data source.
Orders,Review Order — create draft order,POST,/orders,"{projectId: string, locationId: string, mixCode: string, quantityM3: number, schedule: {date: 'YYYY-MM-DD', timeWindowId: string, requestedIntervalMinutes: number, notes?: string}, structureTypeId: string, services: {pump: {required: boolean, size?: 'small'|'medium'|'big'}, technician: {required: boolean, cubeMouldQuantity?: number}, temperatureControl: boolean, laboratoryTesting: boolean, otherApprovedService: boolean}, siteAccess: {narrowAccess: boolean, roadPermitRequired: boolean, boomPumpRequired: boolean, nightPour: boolean, confirmed: boolean}}","{order: {orderId: string, orderReference: string, status: 'draft', projectId: string, locationId: string, mixCode: string, quantityM3: number, scheduledDate: 'YYYY-MM-DD', timeWindowId: string}}","{code: ""VALIDATION_ERROR"", message: ""Complete all required order details before continuing."", fields: {projectId: ""Select a project"", locationId: ""Select a location"", mixCode: ""Select a mix code"", quantityM3: ""Quantity must be greater than 0"", schedule: ""Select an available date and time window"", structureTypeId: ""Select a structure type"", siteAccess: ""Confirm site-access details""}}","{code: ""SLOT_UNAVAILABLE"", message: ""This delivery slot is no longer available. Select another slot.""}; {code: ""DUPLICATE_ORDER_REQUEST"", message: ""An identical draft order already exists. Review that order instead.""}",None,"Creates only the draft order from the Review screen. Price Breakdown is loaded separately with the created orderId"
Orders,Price Breakdown — load current order pricing,GET,/orders/{orderId}/price-breakdown,"{}","{orderId: string, orderReference: string, status: 'draft'|'pending_payment', priceBreakdown: {concrete: number, concretePump: number, technicianAnd6CubeMoulds: number, paymentMethodCharge: number, subtotal: number, vat: number, total: number, currency: 'AED'}, payment: {canProceed: boolean, requiredAmount: number, currency: 'AED', kycRequired: boolean}}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""PRICING_UNAVAILABLE"", message: ""Price breakdown is temporarily unavailable. Please try again.""}; {code: ""PRICE_CHANGED"", message: ""Pricing has changed. Review the updated total before payment.""}",None,"Exact current Price Breakdown UI lines: Concrete; Concrete Pump; Technician & 6 Cube Moulds; Payment Method Charge; Subtotal; VAT; Total"
Orders,My Orders / Projects — initial load,GET,/orders,"{status?: 'inProgress'|'scheduled'|'completed'|'draft', query?: string, page?: number, pageSize?: number}","{items: [{orderId: string, status: string, grade: string, location: string, timeSlot: string, volume: string, date: string, amount: number, delivered?: number, total?: number}], page: number, pageSize: number, total: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NO_ORDERS_FOUND"", message: ""No orders match the selected filters.""}",None,Required by the current My Orders / Projects — initial load flow; wire it after replacing the existing mock/local data source.
Orders,Order Details / Status — load,GET,/orders/{orderId},"{pathParams: {orderId: string}}","{orderId: string, status: string, grade: string, location: string, timeSlot: string, volume: string, date: string, amount: number, delivered?: number, total?: number, project: {id: string, name: string}}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""ORDER_ACCESS_DENIED"", message: ""You do not have access to this order.""}",None,"orderId is mandatory in the URL path"
Orders,Live Tracking — load current delivery position,GET,/orders/{orderId}/tracking,"{pathParams: {orderId: string}}","{orderId: string, deliveryStatus: string, driver: {name: string, phone?: string}, vehicle: {number: string}, currentLocation: {latitude: number, longitude: number, updatedAt: ISO-8601 string}, destination: {latitude: number, longitude: number}, estimatedArrival?: ISO-8601 string}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""TRACKING_NOT_AVAILABLE"", message: ""Live tracking is not available for this order yet.""}",Fleet / tracking provider optional,"Required by the current Live Tracking screen; orderId is mandatory in the URL path"
Orders,Site Checkpoint / Pouring / Assigned Resources — load operations state,GET,/orders/{orderId}/operations,"{pathParams: {orderId: string}}","{orderId: string, deliveryStatus: string, siteProgress: {checkpoint: string, startedAt?: ISO-8601 string, completedAt?: ISO-8601 string}, resources: [{id: string, type: 'truck'|'pump'|'technician', label: string, status: string, sequence: integer, eta?: ISO-8601 string}]}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""OPERATIONS_NOT_AVAILABLE"", message: ""Live operations data is not available for this order yet.""}",None,"orderId is mandatory in the URL path"
Orders,Schedule Proposed / Confirmation Needed — load proposal,GET,/orders/{orderId}/schedule-proposal,{},"{orderId: string, status: string, proposedSchedule: {date: 'YYYY-MM-DD', timeSlot: string, estimatedStart: ISO-8601 string, estimatedCompletion?: ISO-8601 string}, proposalStatus: 'pending'|'accepted'|'change_requested'}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""NO_PENDING_PROPOSAL"", message: ""There is no pending schedule proposal for this order.""}",None,Required by the current Schedule Proposed / Confirmation Needed — load proposal flow; wire it after replacing the existing mock/local data source.
Orders,Agreement Summary / Operations Agreement — load agreement,GET,/orders/{orderId}/operations-agreement,{},"{orderId: string, agreementStatus: 'pending'|'accepted', concrete: {grade: string, slumpClass: string, approvedVolumeM3: number}, services: {primaryPump?: string, secondaryPump?: string, technicianRequired: boolean, temperatureControl: boolean}, notes?: string}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""AGREEMENT_NOT_READY"", message: ""The operations agreement is not ready yet.""}",None,Required by the current Agreement Summary / Operations Agreement — load agreement flow; wire it after replacing the existing mock/local data source.
Payments,Choose Payment Method — start card / wallet / bank payment,POST,/payments,"{orderId: string, method: 'card'|'wallet'|'bankTransfer'|'cash', walletAmount?: number, termsAccepted?: boolean, returnUrl?: string}","{payment: {id: string, orderId: string, amount: number, method: string, status: 'pending'|'processing'|'success'|'failed', transactionId?: string}, priceBreakdown: {concrete: number, concretePump: number, technicianAnd6CubeMoulds: number, paymentMethodCharge: number, subtotal: number, vat: number, total: number, currency: 'AED'}, nextAction?: {type: 'redirect'|'payment_link'|'bank_transfer'|'none', url?: string, reference?: string}}","{code: ""VALIDATION_ERROR"", message: ""Select a valid payment method."", fields: {orderId: ""Order is required"", method: ""Choose a payment method"", walletAmount: ""Wallet amount cannot exceed the available balance or payable amount"", termsAccepted: ""Accept the terms before this payment method""}}","{code: ""PAYMENT_ALREADY_COMPLETED"", message: ""This order has already been paid.""}; {code: ""INSUFFICIENT_WALLET_BALANCE"", message: ""Your wallet balance is insufficient. Choose split payment or another method.""}; {code: ""PAYMENT_PROVIDER_UNAVAILABLE"", message: ""Payment service is temporarily unavailable. Please try again.""}",Payment gateway,"Uses the exact Price Breakdown UI fields; backend calculates amount from orderId and refreshes Payment Method Charge when the method changes"
Payments,Payment Success / Pending — refresh payment state,GET,/payments/{paymentId},{},"{id: string, orderId: string, amount: number, method: 'card'|'wallet'|'bankTransfer'|'cash', status: 'pending'|'processing'|'success'|'failed', transactionId?: string, failureReason?: string}","{code: ""INVALID_PAYMENT_ID"", message: ""The selected payment could not be found.""}","{code: ""PAYMENT_PENDING"", message: ""Payment is still being processed. Check again shortly.""}; {code: ""PAYMENT_FAILED"", message: ""Payment could not be completed. Try another payment method.""}",Payment gateway,Required by the current Payment Success / Pending — refresh payment state flow; wire it after replacing the existing mock/local data source.
Payments,Upload Payment Proof — submit bank-transfer receipt,POST,/payments/{paymentId}/proof,"{pathParams: {paymentId: string}, body: {proofFileId: string, bankReference?: string, paidAt?: ISO-8601 string}}","{paymentId: string, status: 'pending_verification', submittedAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Upload a valid payment proof file."", fields: {proofFileId: ""Payment proof is required"", bankReference: ""Enter a valid bank reference""}}","{code: ""PROOF_ALREADY_SUBMITTED"", message: ""Payment proof has already been submitted for this payment.""}; {code: ""PAYMENT_NOT_PENDING"", message: ""This payment cannot accept proof in its current status.""}",Object storage / bank operations,"paymentId is mandatory in the URL path"
Wallet,Wallet — load balance,GET,/wallet/balance,{},"{availableTokenM3: number, reservedTokenM3: number, totalTokenM3: number, estimatedValueAed: number}","{code: ""UNAUTHORIZED"", message: ""Sign in to view your wallet balance.""}","{code: ""WALLET_UNAVAILABLE"", message: ""Wallet balance is temporarily unavailable. Please try again.""}",Wallet programme provider,Required by the current Wallet — load balance flow; wire it after replacing the existing mock/local data source.
Wallet,Transaction History — load,GET,/wallet/transactions,"{page?: number, pageSize?: number}","{items: [{id: string, type: 'deposit'|'orderPayment'|'reserved'|'refund', name: string, subtitle?: string, amount: number, is_credit: boolean, status: 'completed'|'pending'|'reserved'|'failed', date: ISO-8601 string}], page: number, pageSize: number, total: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""WALLET_UNAVAILABLE"", message: ""Wallet data is temporarily unavailable. Please try again.""}",Wallet programme provider,Required by the current Transaction History — load flow; wire it after replacing the existing mock/local data source.
Wallet,Add Funds — begin top-up,POST,/wallet/top-ups,"{amountAed: number, returnUrl?: string}","{topUpId: string, status: 'pending', paymentUrl?: string, paymentReference?: string}","{code: ""VALIDATION_ERROR"", message: ""Enter an amount greater than AED 0."", fields: {amountAed: ""Enter a valid top-up amount""}}","{code: ""TOP_UP_LIMIT_EXCEEDED"", message: ""This amount exceeds your wallet top-up limit.""}; {code: ""TOP_UP_PROVIDER_UNAVAILABLE"", message: ""Wallet top-up is temporarily unavailable. Please try again.""}",Payment gateway / wallet programme provider,Required by the current Add Funds — begin top-up flow; wire it after replacing the existing mock/local data source.
Profile,Profile / Personal Details — load,GET,/me,{},"{id: string, name: string, email: string, phone: string, company: string, avatarUrl?: string, isKycVerified: boolean}","{code: ""UNAUTHORIZED"", message: ""Sign in to view your profile.""}","{code: ""PROFILE_UNAVAILABLE"", message: ""Profile details are temporarily unavailable. Please try again.""}",None,Required by the current Profile / Personal Details — load flow; wire it after replacing the existing mock/local data source.
Profile,Personal Details — save,PUT,/me,"{name: string, email: string, phone: string, company: string, avatarUrl?: string}","{id: string, name: string, email: string, phone: string, company: string, avatarUrl?: string, isKycVerified: boolean}","{code: ""VALIDATION_ERROR"", message: ""Enter a valid name, email address, and mobile number."", fields: {name: ""Name is required"", email: ""Enter a valid email"", phone: ""Enter a valid mobile number""}}","{code: ""EMAIL_IN_USE"", message: ""This email address is already linked to another account.""}",None,Required by the current Personal Details — save flow; wire it after replacing the existing mock/local data source.
Profile,Company Information — load,GET,/company,{},"{legalName: string, tradeName: string, tradeLicenseNumber: string, trn: string, industry: string, officeAddress: string, officialEmail: string, corporatePhone: string, website?: string}","{code: ""UNAUTHORIZED"", message: ""Sign in to view company information.""}","{code: ""COMPANY_PROFILE_UNAVAILABLE"", message: ""Company information is temporarily unavailable. Please try again.""}",None,Required by the current Company Information — load flow; wire it after replacing the existing mock/local data source.
Profile,Company Information — save,PUT,/company,"{legalName: string, tradeName: string, tradeLicenseNumber: string, trn: string, industry: string, officeAddress: string, officialEmail: string, corporatePhone: string, website?: string}","{legalName: string, tradeName: string, tradeLicenseNumber: string, trn: string, industry: string, officeAddress: string, officialEmail: string, corporatePhone: string, website?: string, updatedAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Complete all required company details."", fields: {legalName: ""Legal entity name is required"", tradeLicenseNumber: ""Trade licence number is required"", officialEmail: ""Enter a valid email"", corporatePhone: ""Enter a valid phone number""}}","{code: ""LICENSE_CONFLICT"", message: ""This trade licence number is already linked to another company.""}",None,Required by the current Company Information — save flow; wire it after replacing the existing mock/local data source.
Profile,Documents — list uploaded documents,GET,/documents,{documentType?: string},"{items: [{id: string, type: string, fileName: string, mimeType: string, status: string, uploadedAt: ISO-8601 string, fileUrl: string}]}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NO_DOCUMENTS_FOUND"", message: ""No documents match the selected filter.""}",Object storage,Required by the current Documents — list uploaded documents flow; wire it after replacing the existing mock/local data source.
Profile,Documents — upload new document,POST,/documents,"{type: string, fileId: string, expiryDate?: 'YYYY-MM-DD'}","{id: string, type: string, fileName: string, mimeType: string, status: 'uploaded'|'under_review', uploadedAt: ISO-8601 string, fileUrl: string}","{code: ""VALIDATION_ERROR"", message: ""Choose a supported document before uploading."", fields: {type: ""Document type is required"", fileId: ""Choose a file to upload""}}","{code: ""FILE_TOO_LARGE"", message: ""This file is too large. Upload a smaller supported file.""}; {code: ""UNSUPPORTED_FILE_TYPE"", message: ""Upload a PDF, JPG, or PNG file.""}",Object storage,Required by the current Documents — upload new document flow; wire it after replacing the existing mock/local data source.
Profile,Documents — delete document,DELETE,/documents/{documentId},"{pathParams: {documentId: string}}","{success: boolean, deletedId: string}","{code: ""INVALID_DOCUMENT_ID"", message: ""The selected document could not be found.""}","{code: ""DOCUMENT_REQUIRED_FOR_KYC"", message: ""This document is required for KYC and cannot be removed.""}",Object storage,"documentId is mandatory in the URL path"
Profile,Settings — request account deletion,POST,/account-deletion-requests,{reason?: string},"{requestId: string, status: 'pending', requestedAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Provide a valid deletion reason if one is selected.""}","{code: ""DELETION_ALREADY_REQUESTED"", message: ""An account deletion request is already in progress.""}; {code: ""ACTIVE_ORDER_BLOCK"", message: ""Account deletion is unavailable while active orders or pending payments exist.""}",None,Required by the current Settings — request account deletion flow; wire it after replacing the existing mock/local data source.
Notifications,Notifications — load,GET,/notifications,"{page?: number, pageSize?: number}","{items: [{id: string, title: string, message: string, date: ISO-8601 string, isRead: boolean, category: string, orderId?: string}], unreadCount: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NOTIFICATIONS_UNAVAILABLE"", message: ""Notifications are temporarily unavailable. Please try again.""}",Push provider optional,Required by the current Notifications — load flow; wire it after replacing the existing mock/local data source.
Notifications,Notifications — open one notification,PATCH,/notifications/{notificationId},"{pathParams: {notificationId: string}, body: {isRead: true}}","{id: string, isRead: true, readAt: ISO-8601 string}","{code: ""INVALID_NOTIFICATION_ID"", message: ""The selected notification could not be found.""}","{code: ""NOTIFICATION_ALREADY_READ"", message: ""This notification has already been marked as read.""}",Push provider optional,"notificationId is mandatory in the URL path"
Notifications,Notifications — tap Mark all read,POST,/notifications/mark-all-read,{},"{updatedCount: number, unreadCount: 0}","{code: ""UNAUTHORIZED"", message: ""Sign in to update notifications.""}","{code: ""NOTIFICATIONS_UNAVAILABLE"", message: ""Notifications could not be updated. Please try again.""}",Push provider optional,Required by the current Notifications — tap Mark all read flow; wire it after replacing the existing mock/local data source.
Invoices,Invoices — initial load,GET,/invoices,"{type?: 'receipt'|'vat'|'vatInvoiceReady', query?: string, page?: number, pageSize?: number}","{items: [{id: string, orderId: string, totalAmount: number, date: ISO-8601 string, types: [string], status: string}], page: number, pageSize: number, total: number}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""NO_INVOICES_FOUND"", message: ""No invoices match the selected filters.""}",None,Required by the current Invoices — initial load flow; wire it after replacing the existing mock/local data source.
